# ============================================================================
# GPLOT Model Info Table (Python format)
#
# Column 1: Model ID (ATCF TECH code)
# Column 2: Display label (shown in plot legends)
# Column 3: matplotlib marker string
#           ('o','s','^','v','<','>','*','D','d','p','h','8','P','X','+','x','.')
# Column 4: matplotlib color value. May be any of:
#             - A CSS4/X11 named color (e.g. 'blue', 'darkgoldenrod')
#             - An xkcd color with the 'xkcd:' prefix (e.g. 'xkcd:deep pink')
#             - A hex value (e.g. '#8B0A50')
#             - A grayscale float string in [0,1] (e.g. '0.25')
# Column 5: Long name (optional)
#
# Fields are separated by commas.  Lines starting with '#' are comments.
# This file supersedes ModelInfo.dat (which uses NCL marker indices and
# NCL-only X11 color names).  Python modules prefer this file when present.
# ============================================================================

# OPERATIONAL MODELS #
HF09,           HF09: HAFSV0.2E(09),  .,                          green,   Hurricane Analysis and Forecast System V0.2E (09)
HF10,           HF10: HAFSV0.2E(10),  .,                 xkcd:light sea green, Hurricane Analysis and Forecast System V0.2E (10)
HF11,           HF11: HAFSV0.2E(11),  .,                        skyblue,   Hurricane Analysis and Forecast System V0.2E (11)
HF12,           HF12: HAFSV0.2E(12),  .,                 xkcd:light teal,   Hurricane Analysis and Forecast System V0.2E (12)
HF13,           HF13: HAFSV0.2E(13),  .,                     dodgerblue,   Hurricane Analysis and Forecast System V0.2E (13)
HF14,           HF14: HAFSV0.2E(14),  .,                      royalblue,   Hurricane Analysis and Forecast System V0.2E (14)
HF15,           HF15: HAFSV0.2E(15),  .,                   mediumpurple,   Hurricane Analysis and Forecast System V0.2E (15)
HF16,           HF16: HAFSV0.2E(16),  .,                         purple,   Hurricane Analysis and Forecast System V0.2E (16)
HF17,           HF17: HAFSV0.2E(17),  .,                           0.20,   Hurricane Analysis and Forecast System V0.2E (17)
HF18,           HF18: HAFSV0.2E(18),  .,                           0.40,   Hurricane Analysis and Forecast System V0.2E (18)
HF19,           HF19: HAFSV0.2E(19),  .,                           0.60,   Hurricane Analysis and Forecast System V0.2E (19)
HF20,           HF20: HAFSV0.2E(20),  .,                           0.80,   Hurricane Analysis and Forecast System V0.2E (20)


# GFS ENSEMBLE #
AEMN,               AEMN: GEFS Mean,  X,                  xkcd:dark pink,   Global Ensemble Forecast System Mean
